Faqir Colony	 Metroville

Al-Noor Society	 New Karachi
 New Karachi	 Aisha Manzil
 Aisha Manzil	 North Nazimabad
 North Nazimabad	 Fedral B. Area Block-HChowrangi
 Fedral B. Area Block-HChowrangi	 Imam Bara
 Imam Bara	 Hussaini Sajjadia Chowrangi
 Hussaini Sajjadia Chowrangi	 Moosa Colony
 Moosa Colony	 A.P.W.A Girls College
 A.P.W.A Girls College	

Karimabad Chowrangi	 Liaquatabad
 Liaquatabad	 Teen Hatti
 Teen Hatti	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 Bandar Road
 Bandar Road	Keamari
Keamari	

Ack Ack School	 Gizri
 Gizri	 Clifton
 Clifton	 Bleak House Road
 Bleak House Road	 Cantt Station
 Cantt Station	 Sarwar Shaheed Road
 Sarwar Shaheed Road	 CourtRoad
 CourtRoad	 Bander Road
 Bander Road	 Tower
 Tower	 Bangali Oil mills
 Bangali Oil mills	 Paracha Mill
 Paracha Mill	 Baldia Colony No. 6
 Baldia Colony No. 6	 Baldia ColonyNo. 7
 Baldia ColonyNo. 7	 Qabrustan
 Qabrustan	 Chandni Chowk
 Chandni Chowk	 Ruby Cinema
 Ruby Cinema	 Saeedabad
 Saeedabad	

Fedral B. Area	 Liaquatabad
 Liaquatabad	 Teen Hatti
 Teen Hatti	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 Bandar Road
 Bandar Road	 Tower
 Tower	Dockyard
Dockyard	

Ittehad Town	 Nai Abadi
 Nai Abadi	 Balda Colony
 Balda Colony	 National Motors
 National Motors	 Shershah
 Shershah	 Chakiwara
 Chakiwara	 Lee Market
 Lee Market	 OldHaji Camp Road
 OldHaji Camp Road	 Nishter Road
 Nishter Road	 Teen Hatti
 Teen Hatti	 Liaquatabad No. 10
 Liaquatabad No. 10	 Gharibabad
 Gharibabad	 Hassan Square
 Hassan Square	Sabzi Mandi
Sabzi Mandi	

Gulberg Colony	 Rahimabad
 Rahimabad	 K.D.A Pump House
 K.D.A Pump House	 Wahadat Colony
 Wahadat Colony	 Saghirabad
 Saghirabad	 Nasirabad
 Nasirabad	

Dastagir Colony	 Azizabad
 Azizabad	 Liaquatabad
 Liaquatabad	 Teen Hatti
 Teen Hatti	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 FrereStreet
 FrereStreet	 Preedt Street
 Preedt Street	 Frere Road
 Frere Road	 Buns Road
 Buns Road	 Tower
 Tower	Fedral B. Area
Fedral B. Area	 Liaquatabad No. 10
 Liaquatabad No. 10	 Teen Hatti
 Teen Hatti	 Goro Mandir
 Goro Mandir	 Old Exhibition
 Old Exhibition	 Empress Market
 Empress Market	Frere Road
Frere Road	 Buns Road
 Buns Road	 Bandar Road
 Bandar Road	 Tower
 Tower	 Dockyard
 Dockyard	

Surjani Town	 Kala School
 Kala School	 U.P Mour
 U.P Mour	 Nagan Chowrangi
 Nagan Chowrangi	 Power House
 Power House	 Sohrab Goth
 Sohrab Goth	

Karimabad	 Liaquatabad No. 10
 Liaquatabad No. 10	 Liaquatabad Post Office
 Liaquatabad Post Office	 Teen Hatti
 Teen Hatti	 P.I.B Colony
 P.I.B Colony	Al-Noor Society
Al-Noor Society	 Water Pump
 Water Pump	 Aisha Manzil
 Aisha Manzil	 North Nazimabad
 North Nazimabad	 Al-Hyderi
 Al-Hyderi	 Altaf Nagar
 Altaf Nagar	Bara Maidan
Bara Maidan	 Goro Mandir
 Goro Mandir	 Old Exhibition
 Old Exhibition	 Empress Market
 Empress Market	 Frere Road
 Frere Road	 Buns Road
 Buns Road	 Bandar Road
 Bandar Road	

Tower	 Keamari
 Keamari	 New KarachiSector II-E Area
 New KarachiSector II-E Area	 Power House
 Power House	 Al-Noor Society
 Al-Noor Society	 Gulberg
 Gulberg	 Water Pump
 Water Pump	

Liaquatabad	 Teen Hatti
 Teen Hatti	 Lawrence Road
 Lawrence Road	 Haji Camp Road
 Haji Camp Road	 Lee Market
 Lee Market	 Shershah
 Shershah	 Delhi Colony
 Delhi Colony	

Surjani Town	 Two Minutes Chowrangi
 Two Minutes Chowrangi	 Power House
 Power House	 Nagan Chowrangi
 Nagan Chowrangi	 Buffer Zone
 Buffer Zone	 SohrabGoth
 SohrabGoth	 Saghir Centre
 Saghir Centre	 Fazal Mills
 Fazal Mills	 Rashid Minhas Road
 Rashid Minhas Road	 Drigh Road
 Drigh Road	 Station
 Station	 Shahra-e-Faisal
 Shahra-e-Faisal	

Star Gate	 Malir Halt
 Malir Halt	 Malir No. 15
 Malir No. 15	 Quaidabad
 Quaidabad	 Dawood Chowrangi
 Dawood Chowrangi	 Landhi 89
 Landhi 89	 Bilal Chowrangihospital
 Bilal Chowrangihospital	 Labour Square
 Labour Square	

Memon goth	 Malir city
 Malir city	 National highway
 National highway	 Dalmia cement factory
 Dalmia cement factory	 Jail Road
 Jail Road	 Lawrence Road
 Lawrence Road	Haji camp Road
Haji camp Road	 Moch Goth
 Moch Goth	

Hashim Goth	 Memon goth
 Memon goth	 Malir city
 Malir city	 National highway
 National highway	 Dalmia cement factory
 Dalmia cement factory	 Jail Road
 Jail Road	Lawrence Road
Lawrence Road	 Haji camp Road
 Haji camp Road	 Lee Market
 Lee Market	

Moach goth	 Haji camp Road
 Haji camp Road	 Lawrance Road
 Lawrance Road	 Garden
 Garden	 Lasbela
 Lasbela	 Teen hatti
 Teen hatti	 Jail Road
 Jail Road	 Dalimiacement factory Road
 Dalimiacement factory Road	 National highway
 National highway	 Kala Board
 Kala Board	 Saudabad
 Saudabad	 Mian dad goth
 Mian dad goth	

Ittefaq Colony Malir	 Gharibabad
 Gharibabad	 Khokhrapar No 1
 Khokhrapar No 1	 Khokhrapar No 2
 Khokhrapar No 2	 Khokhrapar No 3
 Khokhrapar No 3	

Khokhrapar No 4	 Saudabad
 Saudabad	 Jinnah square
 Jinnah square	 Malir malt
 Malir malt	 Cheta gate
 Cheta gate	 Drigh Road
 Drigh Road	 statin
 statin	 Rashidminhas Road
 Rashidminhas Road	 National cement Ffactory
 National cement Ffactory	 Naval Colony
 Naval Colony	 National Stadium
 National Stadium	 Agha Khan Hospital
 Agha Khan Hospital	New Town Police Station
New Town Police Station	 Guru Mandir
 Guru Mandir	 Numaish
 Numaish	 Bander Road
 Bander Road	 Tower
 Tower	

Pir Sahib Goth	 Saleh Mohammad Goth
 Saleh Mohammad Goth	 Landhi
 Landhi	 Malir City
 Malir City	 National Highway
 National Highway	 Dalimia CementFactory
 Dalimia CementFactory	 Jail Road
 Jail Road	 Martin Road
 Martin Road	 Teen Hatti
 Teen Hatti	 Lasbela
 Lasbela	 Lawrence Road
 Lawrence Road	 Haji Camp Road
 Haji Camp Road	 MoachGoth
 MoachGoth	

Shidi Village	 Peer sarhandi Village
 Peer sarhandi Village	 Lashari Village
 Lashari Village	 Meesa Goth
 Meesa Goth	 Model Village
 Model Village	 Chaukandi
 Chaukandi	

National Highway	 Qauidabad
 Qauidabad	 Malir City
 Malir City	 National Stadium Road
 National Stadium Road	 Garden
 Garden	 Lea Market
 Lea Market	Labour Square
Labour Square	 Gul Mohammad Chowrangi
 Gul Mohammad Chowrangi	 Metropolitan Steel Corporation
 Metropolitan Steel Corporation	 Qazafi Town
 Qazafi Town	

Quaidabad	 Landhi
 Landhi	 Malir City
 Malir City	 Drigh Road
 Drigh Road	 Jail Road
 Jail Road	 Nishter Road
 Nishter Road	 Lee Market
 Lee Market	 Agha KhanJamat Khana
 Agha KhanJamat Khana	 G.Allana Road
 G.Allana Road	 Kheja Jamat Khana
 Kheja Jamat Khana	 Dockyard
 Dockyard	 Fisheries
 Fisheries	

Kenker	 Bukhari Bijari Bhatti
 Bukhari Bijari Bhatti	 Haji Jikhria
 Haji Jikhria	 Malir Cantt
 Malir Cantt	 University Road
 University Road	 Jail Road
 Jail Road	 Teen Hatti
 Teen Hatti	Lawrence Road
Lawrence Road	 Haji Camp Road
 Haji Camp Road	 Lee Market
 Lee Market	

Lee Market	 Manghopir Road
 Manghopir Road	 Banaras Colony
 Banaras Colony	 New Karahci Saindad Goth
 New Karahci Saindad Goth	 Razi B.B MemberGoth
 Razi B.B MemberGoth	 Angara Goth
 Angara Goth	 Geram-ka-Goth
 Geram-ka-Goth	 New Kenker
 New Kenker	 Gadap Goth
 Gadap Goth	

Washail Bagh	 Gadap
 Gadap	 Muderwah
 Muderwah	 Kenker
 Kenker	 Bakhari Bijara Bhatti
 Bakhari Bijara Bhatti	 Haji Jikhria
 Haji Jikhria	 Malir Cantt
 Malir Cantt	University
University	 Jail Road
 Jail Road	 Teen Hatti
 Teen Hatti	 Lawrence Road
 Lawrence Road	 Haji Camp Road
 Haji Camp Road	 Lee Market
 Lee Market	

Kathere	 National Highway
 National Highway	 Dalimia Cement Factory Road
 Dalimia Cement Factory Road	 Jail Road
 Jail Road	 Martin Road
 Martin Road	 LawrenceRoad
 LawrenceRoad	 Haji Camp Road
 Haji Camp Road	 Moach Goth
 Moach Goth	

Moria Faqir Goth	 Mohammad Murad Gokhia Goth
 Mohammad Murad Gokhia Goth	 Kathere
 Kathere	 National Highway
 National Highway	 Dalimia CementFactory Road
 Dalimia CementFactory Road	 jail Road
 jail Road	 Martin Road
 Martin Road	 Lawrence Road
 Lawrence Road	 Haji camp Road
 Haji camp Road	 Lee Market
 Lee Market	

Malir City	 National Highway
 National Highway	 Dalimia Cement Factory Road
 Dalimia Cement Factory Road	 Jial Road
 Jial Road	 Martin Road
 Martin Road	 LawrenceRoad
 LawrenceRoad	 Haji camp Road
 Haji camp Road	 Lee Market
 Lee Market	

Darsana Chana	 Malir City
 Malir City	 National Highway
 National Highway	 Dalimia Cement Factory Road
 Dalimia Cement Factory Road	 Jial Road
 Jial Road	 MartinRoad
 MartinRoad	 Lawrence Road
 Lawrence Road	 Napier Road
 Napier Road	 Marriet Road
 Marriet Road	 South Napier Road

Darsana Chana	 Malir City
 Malir City	 National Highway
 National Highway	 Dalimia Cement Factory Road
 Dalimia Cement Factory Road	 Jial Road
 Jial Road	 MartinRoad
 MartinRoad	 Lawrence Road
 Lawrence Road	 Haji Camp Road
 Haji Camp Road	 Lee Market
 Lee Market	

Hub River Road	 Baldia Colony
 Baldia Colony	 Shershah
 Shershah	 Chakiwara
 Chakiwara	

Naval Colony	 Mauripur Village
 Mauripur Village	 Dhobi Ghat
 Dhobi Ghat	 Pir Bokhari
 Pir Bokhari	 Shershah
 Shershah	 Chakiwara
 Chakiwara	 Lee Market
 Lee Market	

Naval Colony	 Mauripur
 Mauripur	 Gulbai
 Gulbai	 Agra Taj Colony
 Agra Taj Colony	 Wazir Mansion
 Wazir Mansion	 Kharadar
 Kharadar	 M.W Tower
 M.W Tower	 Ghas Bunder
 Ghas Bunder	 Post Office
 Post Office	 Kearmari
 Kearmari	

Naval Colony( Hub River Road)	 Mohajir Camp
 Mohajir Camp	 Shershah
 Shershah	 Miran Naka
 Miran Naka	 Chakiwara
 Chakiwara	 Lee Market
 Lee Market	 Mohabbat khanji Road
 Mohabbat khanji Road	 Khoja Jamat Khana
 Khoja Jamat Khana	 Custom House
 Custom House	 Tower
 Tower	

Bund Murad Khan	 Manghopir
 Manghopir	 Banaras Colony
 Banaras Colony	 Valika Mills
 Valika Mills	 Bara Board
 Bara Board	 Rexer Lines
 Rexer Lines	 DhobiGhat
 DhobiGhat	 Lee Market
 Lee Market	

Lee Market	 Dhobi Ghat
 Dhobi Ghat	 S.I.T.E
 S.I.T.E	 Manghopir
 Manghopir	 Bund Murad Khan
 Bund Murad Khan	 Long Lehar
 Long Lehar	 Hub Dam Colony
 Hub Dam Colony	

Gadap	 Manghopir
 Manghopir	 Banaras Colony
 Banaras Colony	 Valika Mills
 Valika Mills	 Bara Board
 Bara Board	 Rexer Lines
 Rexer Lines	 Lea Market
 Lea Market	

Dastagir Colony	 Azizabad
 Azizabad	 Liaquatabad
 Liaquatabad	 Teen Hatti
 Teen Hatti	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 FrereStreet
 FrereStreet	 Preedy Street
 Preedy Street	 Frere Road
 Frere Road	 Buns Road
 Buns Road	 Tower
 Tower	

Yasinabad Alliaabad	 Hussainabad
 Hussainabad	 Karimabad
 Karimabad	 Liaquatabad No. 10
 Liaquatabad No. 10	 Petrol Pump
 Petrol Pump	 NazimabadChowrangi
 NazimabadChowrangi	 Golimar
 Golimar	 Lasbela
 Lasbela	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 Saddar
 Saddar	 Buns Road
 Buns Road	 Light House
 Light House	Tower
Tower	

Sindhi Hotel New Karachi	 Manhgopir Road
 Manhgopir Road	 Banaras Colony
 Banaras Colony	 Valika Mills
 Valika Mills	 Bara Board
 Bara Board	 RexerLines
 RexerLines	 Dhobi Ghat
 Dhobi Ghat	 Faqir Mohammad Durra Khan Road
 Faqir Mohammad Durra Khan Road	 Herchandrai Road
 Herchandrai Road	 Lee Market
 Lee Market	

Gulshan-e-Iqbal 13-D-2	 Samdani Hospital
 Samdani Hospital	 Gulshan-e-Iqbal Block 5 Chowrangi
 Gulshan-e-Iqbal Block 5 Chowrangi	 Rashid MinhasRoad
 Rashid MinhasRoad	 N.I.P.A
 N.I.P.A	 University Road
 University Road	 Hassan Square
 Hassan Square	 Liaquatabad No. 10
 Liaquatabad No. 10	 Liaquatabad Post Office
 Liaquatabad Post Office	

Teen Hatti	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 Frere Street
 Frere Street	 Preedy Street
 Preedy Street	 Ferer Road
 Ferer Road	 BurnsRoad
 BurnsRoad	 Bundar Road
 Bundar Road	 Tower
 Tower	

Orangi No. 11 1/2	 Orangi No. 5
 Orangi No. 5	 Metro Cinema
 Metro Cinema	 Banaras Chowk
 Banaras Chowk	 Habib Bank
 Habib Bank	 Nazimabad PetrolPump
 Nazimabad PetrolPump	 Liaquatabad No. 10
 Liaquatabad No. 10	 Hasan Square
 Hasan Square	 National Stadium
 National Stadium	 Karsaz
 Karsaz	 Shahrah-e-Faisal
 Shahrah-e-Faisal	 P.A.F
 P.A.F	Star Gate
Star Gate	 Malir Halt
 Malir Halt	 Kala Board
 Kala Board	 Lal Masjid
 Lal Masjid	 Saudabad
 Saudabad	 Khokhrapar
 Khokhrapar	

Liaquatabad Post Office	 Liaquatabad No. 10
 Liaquatabad No. 10	 Nazimabad
 Nazimabad	 Petrol Pump Chowrangi
 Petrol Pump Chowrangi	 Lasbela
 Lasbela	Lawrence Road
Lawrence Road	 Garden Road
 Garden Road	 Bandar Road
 Bandar Road	 Tower
 Tower	

Liaquatabad Post Office	 Liaquatabad No. 10
 Liaquatabad No. 10	 Nazimabad
 Nazimabad	 Petrol Pump Chowrangi
 Petrol Pump Chowrangi	 Lasbela
 Lasbela	

Lawrence Road	 Britte Road
 Britte Road	 Soldier Bazar
 Soldier Bazar	 Garden Road
 Garden Road	 Napier Road
 Napier Road	 Bandar Road
 Bandar Road	 Tower
 Tower	Keamari
Keamari	

Dockyard	 M.W Tower
 M.W Tower	 Lee Market
 Lee Market	 Chakiwra
 Chakiwra	 Miran Naka
 Miran Naka	 Shershah
 Shershah	 Taj Silk Mill
 Taj Silk Mill	 Habib Bank
 Habib Bank	

Bara Board	 Muslim League Quarters
 Muslim League Quarters	 Nazimabad Chowrangi
 Nazimabad Chowrangi	 Liaquatabad Post Office
 Liaquatabad Post Office	

Liaquatabad No. 10	 Karimabad
 Karimabad	 Imam Bara
 Imam Bara	 Hussaini Sajjadia
 Hussaini Sajjadia	 Saifee Technology College
 Saifee Technology College	Bufferzone
Bufferzone	

Mohajir Camp	 Labour Square
 Labour Square	 Ghani Chowrangi
 Ghani Chowrangi	 Mills Area
 Mills Area	 Habbib Bank
 Habbib Bank	 Garden
 Garden	 GardenRoad
 GardenRoad	 Bandar Road
 Bandar Road	 Preedy Street
 Preedy Street	 Regal
 Regal	 Frere Road
 Frere Road	 Court Road
 Court Road	 Shaheed Complex
 Shaheed Complex	 P.I.D.CHouse
 P.I.D.CHouse	 M.T Khan Road
 M.T Khan Road	 Sultanabad
 Sultanabad	

Gulshan-e-Iqbal	 Anglo Orient School
 Anglo Orient School	 Hassan Square
 Hassan Square	 Gharibabad
 Gharibabad	 Liaquatabad No. 10
 Liaquatabad No. 10	

Liaquatabad Post Office	 Bara Board
 Bara Board	 Old Golimar
 Old Golimar	 Garden
 Garden	 Ranchore Lane
 Ranchore Lane	 Jubilee Cinema
 Jubilee Cinema	West Wharf
West Wharf	

Liaquatabad No. 10	 Petrol Pump
 Petrol Pump	 Nazimabad
 Nazimabad	 Valika Mills
 Valika Mills	 Bara Board
 Bara Board	 Bismillah Hotel
 Bismillah Hotel	

Bakrapidi	 Chakiwara
 Chakiwara	 Lee Market
 Lee Market	 Moosa Lane
 Moosa Lane	 Baghdadi
 Baghdadi	 Kharadar
 Kharadar	 Tower
 Tower	

Keamari	 Tower
 Tower	 Bolton Market
 Bolton Market	 Eidgah
 Eidgah	 Ranchore Lane
 Ranchore Lane	 Garden
 Garden	 Lasbella
 Lasbella	 Postoffice
 Postoffice	 SindhiHotel
 SindhiHotel	 New Town
 New Town	 Civic Centre
 Civic Centre	 N.I.P.A
 N.I.P.A	 University Road
 University Road	 Safora Goth
 Safora Goth	 Tokyo Terrace Plaza
 Tokyo Terrace Plaza	

P.I.B Colony	 Hyderabad Colony
 Hyderabad Colony	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 Bandar Road
 Bandar Road	 Tower
 Tower	

P.I.B Colony	 Hyderabad Colony
 Hyderabad Colony	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 Frere Street
 Frere Street	 Preedy Street
 Preedy Street	Frere Road
Frere Road	 Ingle Road
 Ingle Road	 Mcleod Road
 Mcleod Road	 Napier Road
 Napier Road	 Keamari
 Keamari	

P.I.B Colony	 Hyderabad Colony
 Hyderabad Colony	 Goro Mandir
 Goro Mandir	 Soldier Bazar
 Soldier Bazar	 Lilly Road
 Lilly Road	 Garden Road
 Garden Road	

Lawrence Road	 Napier Road
 Napier Road	 Bandar Road
 Bandar Road	 Tower
 Tower	 Dockyard
 Dockyard	

P.I.B Colony	 Hyderabad Colony
 Hyderabad Colony	 Goro Mandir
 Goro Mandir	 Soldier Bazar
 Soldier Bazar	 Lilly Road
 Lilly Road	 Garden Road
 Garden Road	

Lawrence Road	 Napier Road
 Napier Road	 Bandar Road
 Bandar Road	 Tower
 Tower	 Keamari
 Keamari	Pir Illahi Bux Colony
Pir Illahi Bux Colony	 Martin Road
 Martin Road	 Teen Hatti
 Teen Hatti	 Liaquatabad
 Liaquatabad	 Nazimabad Post Office
 Nazimabad Post Office	 Shershah
 Shershah	

Gulbai	 Mauripur Road
 Mauripur Road	 Mirza Adam Khan Road
 Mirza Adam Khan Road	 Bihar Colony
 Bihar Colony	 Baghdadi
 Baghdadi	 Khadda MemonSociety
 Khadda MemonSociety	 Tower
 Tower	

Surjani Town	 Nai Abadi
 Nai Abadi	 Bara Dari
 Bara Dari	 Disco Mour
 Disco Mour	 U.P Mour
 U.P Mour	 Nagan Chowrangi
 Nagan Chowrangi	 Power House
 Power House	

Sohrab Goth	 Moti Mahal
 Moti Mahal	 N.I.P.A
 N.I.P.A	 University Road
 University Road	 Safari Park
 Safari Park	 Karachi University
 Karachi University	 Safora Goth
 Safora Goth	Haroon Banglow
Haroon Banglow	

Abdullah Gabol Goth	 Gulshan-e-Maymar
 Gulshan-e-Maymar	 Al-Asif Square
 Al-Asif Square	 Sohrab Goth
 Sohrab Goth	 Water Pump
 Water Pump	 AishaManzil
 AishaManzil	 Karimabad
 Karimabad	 Liaquatabad No. 10
 Liaquatabad No. 10	 Nazimabad
 Nazimabad	 Petrol Pump
 Petrol Pump	 Habib Bank
 Habib Bank	 Valika Mills
 Valika Mills	 SitePolice Station
 SitePolice Station	 Rasheedabad
 Rasheedabad	 Mohajir Camp No. 7
 Mohajir Camp No. 7	 Mohajir Camp No. 19-D
 Mohajir Camp No. 19-D	 Rubby Cinema
 Rubby Cinema	Baloch Goth
Baloch Goth	

New Sabzi Mandi	 Maskan
 Maskan	 Gulshan Thana
 Gulshan Thana	 Gulshan Chowrangi
 Gulshan Chowrangi	 N.I.P.A
 N.I.P.A	 University Road
 University Road	

Hassan Square	 Gharibabad
 Gharibabad	 Liaquatabad No. 10
 Liaquatabad No. 10	 Nazimabad No. 3
 Nazimabad No. 3	 Nazimabad No. 4
 Nazimabad No. 4	 PetrolPump
 PetrolPump	 Nazimabad No. 1
 Nazimabad No. 1	 Nazimabad No. 2
 Nazimabad No. 2	 Habib Bank
 Habib Bank	 Maripur
 Maripur	 Scout Colony
 Scout Colony	 Gulshan-eMaymar
 Gulshan-eMaymar	 Sohrab Goth
 Sohrab Goth	 Asif square
 Asif square	 New Sabzi Mandi

Fedrel B. Area	 Madrassa-e-Anwarul Uloom
 Madrassa-e-Anwarul Uloom	 Aziz Bhatti Shaheed Road
 Aziz Bhatti Shaheed Road	 Hyderi
 Hyderi	 Board Office
 Board Office	

First Chowrangi	 Nazimabad Board
 Nazimabad Board	 Bismillah Hotel
 Bismillah Hotel	 Old Goli Maar
 Old Goli Maar	 Pak Quarters
 Pak Quarters	 Garden
 Garden	 PlazaCinema
 PlazaCinema	 M.A Jinnah Road
 M.A Jinnah Road	 Tower
 Tower	 Sakhi Hasan
 Sakhi Hasan	 Hyderi
 Hyderi	 North Nazimabad
 North Nazimabad	 Lasbella
 Lasbella	 Bridge
 Bridge	 Nazrul Islam Road
 Nazrul Islam Road	 M.W Tower
 M.W Tower	 WestWharf
 WestWharf	 Custom House
 Custom House	

Sakhi Hassan	 Hyderi
 Hyderi	 KDA Pump
 KDA Pump	 Hussain D'Silva Town
 Hussain D'Silva Town	 Paposh Nagar
 Paposh Nagar	 Nazimabad
 Nazimabad	 Goli Maar
 Goli Maar	Nishter Road
Nishter Road	 Garden
 Garden	 M.A Jinnah Road
 M.A Jinnah Road	 Custom House
 Custom House	

Sir Syed Town	 U.P Mour
 U.P Mour	 Nagan Chowrangi
 Nagan Chowrangi	 Sakhi Hassan
 Sakhi Hassan	 Hyderi
 Hyderi	 Board Office
 Board Office	 Nazimabad
 Nazimabad	

Petrol Pump	 Goli Maar Chowrangi
 Goli Maar Chowrangi	 Lasbella
 Lasbella	 Goro Mandir
 Goro Mandir	 M.A Jinnah Road
 M.A Jinnah Road	 Tower
 Tower	 NorthKarachi Sector 4
 NorthKarachi Sector 4	 North Karachi Sector 5
 North Karachi Sector 5	 Peela School
 Peela School	 Dockyard
 Dockyard	

New Sultanabad	 Javedan Cement Factory
 Javedan Cement Factory	 Mianwali Colony
 Mianwali Colony	 Nusrat Bhutto Colony
 Nusrat Bhutto Colony	 PaposhNagar
 PaposhNagar	 Bara Maidan
 Bara Maidan	 Nazimabad No. 2
 Nazimabad No. 2	 Petrol Pump
 Petrol Pump	 Goro Mandir
 Goro Mandir	 Old Exhibition
 Old Exhibition	 M.A JinnahRoad
 M.A JinnahRoad	 Empress Market
 Empress Market	 Fleet Club
 Fleet Club	 Jinnah Hospital
 Jinnah Hospital	 Cantt. Station
 Cantt. Station	 Khaliq-uz-Zaman Road
 Khaliq-uz-Zaman Road	 Gizri
 Gizri	

Saudi Embassy	 Khayaban-e-Shamsheer
 Khayaban-e-Shamsheer	 Khayaban-e-Mafia
 Khayaban-e-Mafia	 Street 26
 Street 26	 Khayaban-e-Bahria
 Khayaban-e-Bahria	

Fleet Club	 Akhter Colony
 Akhter Colony	 Qayyum Abad
 Qayyum Abad	 Dowwd Pota Road
 Dowwd Pota Road	 Empress Market
 Empress Market	 Seven DayHospital
 Seven DayHospital	 M.A.Jinnah Road
 M.A.Jinnah Road	

Gulberg Chowrangi	 Sakhi Hassan Road
 Sakhi Hassan Road	 Allama Turabi Road
 Allama Turabi Road	 Poeples Colony
 Poeples Colony	 Zafar House
 Zafar House	

Allama Rashid Turabi Chowk 2	 Shahra-e-Jehangir
 Shahra-e-Jehangir	 Water Pump
 Water Pump	 Hyderi
 Hyderi	 KDA Office
 KDA Office	 BankQuarters
 BankQuarters	 Board Office
 Board Office	 Nazimabad No. 7
 Nazimabad No. 7	 Nazimabad No. 6
 Nazimabad No. 6	 Petrol Pump Golimar
 Petrol Pump Golimar	 Lasbella
 Lasbella	

Patel Para	 Guru Mandir
 Guru Mandir	 Old Numaish
 Old Numaish	 M.A.Jinnah Road
 M.A.Jinnah Road	 Saddar
 Saddar	 Empress Market
 Empress Market	 Frere Road
 Frere Road	Buns Road
Buns Road	 Jama Colth
 Jama Colth	 Tower
 Tower	 Custom House
 Custom House	 Dock Yard
 Dock Yard	

Saddar	 Lucky Star
 Lucky Star	 Jinnah Hospital
 Jinnah Hospital	 Kala Pul
 Kala Pul	 Korangi Road
 Korangi Road	 Korangi No. 5 1/2
 Korangi No. 5 1/2	 Market No. 6
 Market No. 6	Dhobi Ghat
Dhobi Ghat	

Shirin Jinnah Colony	 Kharkar Chowrangi
 Kharkar Chowrangi	 Bath Island
 Bath Island	 United Printing
 United Printing	 Sultanabad
 Sultanabad	 Haji Camp
 Haji Camp	

PIDC	 Station
 Station	 Doctor Dawood Pota Road
 Doctor Dawood Pota Road	 Lucky Star
 Lucky Star	 Jinnah Hospital
 Jinnah Hospital	 Kala Pul
 Kala Pul	 Korangi Road
 Korangi Road	

Akhter Colony	 Singer Chowrangi
 Singer Chowrangi	 Qayyumabad
 Qayyumabad	 Korangi Industrial Area
 Korangi Industrial Area	 Darul-uloom
 Darul-uloom	 Bilal

Colony	 Singer Chowrangi
 Singer Chowrangi	 K Area
 K Area	 Landhi no. 3
 Landhi no. 3	 Landhi No.4
 Landhi No.4	 Dowood Chowrangi
 Dowood Chowrangi	 ManserahColony
 ManserahColony	 Nabbu Goth
 Nabbu Goth	

Mansoor Nagar	 Orangi Town
 Orangi Town	 Dabba Mour
 Dabba Mour	 Islam Chowk
 Islam Chowk	 Disco Mour
 Disco Mour	 Orangi No. 14
 Orangi No. 14	 OrangiNo. 13
 OrangiNo. 13	 Orangi No. 12
 Orangi No. 12	 Orangi No. 5
 Orangi No. 5	 Orangi No. 4
 Orangi No. 4	 Metroville
 Metroville	 Zia Colony
 Zia Colony	 Site Thana
 Site Thana	

Politechnical	 Philips Company
 Philips Company	 Rashidabad
 Rashidabad	 Mohajir Camp No. 7
 Mohajir Camp No. 7	 Nai Abadi
 Nai Abadi	

Abidabad Orangi	 Zia-ul-Haq Colony
 Zia-ul-Haq Colony	 Metroville
 Metroville	 Orangi No. 4
 Orangi No. 4	Orangi No. 5
Orangi No. 5	 Metro Cinema
 Metro Cinema	

Banaras Chowk	 Abdullah College
 Abdullah College	 Aziz Medical Centre
 Aziz Medical Centre	 Shahra-e-Soori
 Shahra-e-Soori	 Shahra-e-Humayun
 Shahra-e-Humayun	

A.P.W.A College	 Shahra-e-Pakistan
 Shahra-e-Pakistan	 Star Centre
 Star Centre	 Shahdibagh
 Shahdibagh	 Samdani Hospital
 Samdani Hospital	 GulshanChowrangi
 GulshanChowrangi	 Disco Bakery
 Disco Bakery	 Leemu Goth
 Leemu Goth	 Quaid-e-Azam Colony
 Quaid-e-Azam Colony	 Sahafi Colony
 Sahafi Colony	 Metroville 3
 Metroville 3	

Gulzar Colony Sector 8-F	 Sharafa Goth
 Sharafa Goth	 Mansehra Colony
 Mansehra Colony	 Dawood Chowrangi
 Dawood Chowrangi	 Quaidabad
 Quaidabad	

